Url,Sum of StorageUsed,Sum of StorageMetrics.TotalSize,Sum of StorageMetrics.TotalFileStreamSize,Sum of StorageMetrics.MetadataSize,Sum of storageUsedInDrives,,Sum of numberOfDrives,Sum of fileCount,Sum of PreviousVersionSize
https://groverale.sharepoint.com/sites/Stream,2847159055,2408929178,1719716757,281487,1719639729,688930934,2,41,-77028
https://groverale.sharepoint.com/sites/streamgroup,1609156,1500920,15971,64306,0,1420643,1,2,-15971
https://groverale.sharepoint.com/sites/TeamCreationAdmin,1973114,1657254,67609,69490,0,1520155,1,5,-67609
https://groverale.sharepoint.com/sites/TeamGroupTest,2885850,2580260,920444,72490,541018,1587326,2,27,-379426
https://groverale.sharepoint.com/sites/TeamGroupTest7,2217266,1912416,322318,69090,0,1521008,1,18,-322318
https://groverale.sharepoint.com/sites/TeamGroupTest819,2355161,2048829,409846,71268,0,1567715,1,27,-409846
https://groverale.sharepoint.com/sites/teamrequests,1672051,1564279,27492,64698,0,1472089,1,4,-27492
https://groverale.sharepoint.com/sites/TeamToDelete,2121097,1805211,167557,72452,18315,1565202,1,11,-149242
https://groverale.sharepoint.com/sites/testcoms,1544067,1437267,18631,55292,17014,1363344,1,2,-1617
https://groverale.sharepoint.com/sites/testComsChub,2117904,1811048,271406,62304,0,1477338,1,17,-271406
https://groverale.sharepoint.com/sites/TestCreditsafedemo,1633573,1528513,17049,52118,17049,1459346,1,1,0
https://groverale.sharepoint.com/sites/testing,1903929,1588881,55256,65715,0,1467910,1,3,-55256
https://groverale.sharepoint.com/sites/TestOneDriveComs,1984755,1666045,128008,59092,0,1478945,1,9,-128008
https://groverale.sharepoint.com/sites/TestPrivateChannels,1578764,1468840,10741,64491,0,1393608,1,2,-10741
https://groverale.sharepoint.com/sites/TestPrivateChannels-Private,703166,682596,0,14923,0,667673,1,0,0
https://groverale.sharepoint.com/sites/testTEam,2249418,1944536,331557,73916,0,1539063,1,19,-331557
https://groverale.sharepoint.com/sites/TheBosses,1903990,1588942,55202,65247,0,1468493,1,3,-55202
https://groverale.sharepoint.com/sites/thefiles,7956811,7849851,3914576,1617038,3879697,2318237,1,6004,-34879
https://groverale.sharepoint.com/sites/TheHubSS,2177016,1869000,281366,63182,0,1524452,1,17,-281366
https://groverale.sharepoint.com/sites/TheHubSS2,2216735,1909879,250817,113366,0,1545696,1,16,-250817
https://groverale.sharepoint.com/sites/toomanylists,329083567,320217795,11463,79093,0,320127239,1,2,-11463
https://groverale.sharepoint.com/sites/tuigroup,1509327,1401895,0,61911,0,1339984,1,0,0
https://groverale.sharepoint.com/sites/UKInsuranceOperations,8969449,8861513,3462919,165648,0,5232946,2,42,-3462919
https://groverale.sharepoint.com/sites/UnderWritingControls,1610320,1505576,17022,57741,0,1430813,1,3,-17022
https://groverale.sharepoint.com/sites/USInsuranceOperations,1545290,1439094,2190,47123,0,1389781,1,2,-2190
https://groverale.sharepoint.com/sites/versionTest,3280336,3166478,792393,94469,780553,2279616,1,6,-11840
https://groverale.sharepoint.com/sites/WhatDrive,1564049,1451303,1617,59007,0,1390679,1,1,-1617
https://groverale.sharepoint.com/sites/YammerSentiment,2344303,2146872,453391,87355,0,1606126,1,21,-453391
